index	text	sentiment	speaker	sentiment	movingave (bin20)	movingave
118	The next day he had almost forgotten about Gandalf.	  Neutral	Gandalf	0	-0.04878	0.28071
119	"He did not remember things very well, unless he put them down on his Engagement Tablet: like this: Gandalf Tea Wednesday."	  Neutral	Gandalf	0	-0.04878	0.28071
120	Yesterday he had been too flustered to do anything of the kind.	  Negative	None	-1	-0.12195	0.20754
121	"Just before tea-time there came a tremendous ring on the front-door bell, and then he remembered!"	  Very positive	None	2	-0.12195	0.20754
122	"He rushed and put on the kettle, and put out another cup and saucer and an extra cake or two, and ran to the door."	  Neutral	None	0	-0.17073	0.15876
123	I am so sorry to keep you waiting!	  Negative	None	-1	-0.17073	0.15876
124	" he was going to say, when he saw that it was not Gandalf at all."	  Neutral	Gandalf	0	-0.21951	0.10998
125	"It was a dwarf with a blue beard tucked into a golden belt, and very bright eyes under his dark-green hood."	  Neutral	None	0	-0.21951	0.10998
126	"As soon a the door was opened, he pushed inside, just as if he had been expected."	  Negative	None	-1	-0.26829	0.061199
127	"He hung his hooded cloak on the nearest peg, and ""Dwalin at your service!"	  Negative	Dwalin	-1	-0.2439	0.085589
128	 he said with a low bow.	  Neutral	None	0	-0.29268	0.036809
129	Bilbo Baggins at yours!	  Neutral	Bilbo Baggins	0	-0.29268	0.036809
130	" said the hobbit, too surprised to ask any questions for the moment."	  Neutral	None	0	-0.31707	0.012419
131	"When the silence that followed had become uncomfortable, he added: ""I am just about to take tea; pray come and have some with me."	  Positive	None	1	-0.31707	0.012419
132	" A little stiff perhaps, but he meant it kindly."	  Neutral	None	0	-0.31707	0.012419
133	"And what would you do, if an uninvited dwarf came and hung his things up in your hall without a word of explanation?"	  Neutral	None	0	-0.29268	0.036809
134	"They had not been at table long, in fact they had hardly reached the third cake, when there came another even louder ring at the bell."	  Negative	None	-1	-0.31707	0.012419
135	Excuse me!	  Neutral	None	0	-0.31707	0.012419
136	" said the hobbit, and off he went to the door."	  Neutral	None	0	-0.31707	0.012419
137	So you have got here at last!	  Negative	None	-1	-0.34146	-0.011971
138	 was what he was going to say to Gandalf this time.	  Neutral	Gandalf	0	-0.34146	-0.011971
139	But it was not Gandalf.	  Neutral	Gandalf	0	-0.36585	-0.036361
140	"Instead there was a very old-looking dwarf on the step with a white beard and a scarlet hood; and he too hopped inside as soon as the door was open, just as if he had been invited."	  Very negative	None	-2	-0.39024	-0.060751
141	"I see they have begun to arrive already, he said when he caught sight of Dwalin's green hood hanging up."	  Neutral	Dwalin	0	-0.36585	-0.036361
142	"He hung his red one next to it, and ""Balin at your service!"	  Negative	Balin	-1	-0.41463	-0.085141
143	 he said with his hand on his breast.	  Neutral	None	0	-0.41463	-0.085141
144	Thank you!	  Negative	None	-1	-0.39024	-0.060751
145	 said Bilbo with a gasp.	  Neutral	Bilbo Baggins	0	-0.39024	-0.060751
146	"It was not the correct thing to say, but they have begun to arrive had flustered him badly."	  Negative	None	-1	-0.41463	-0.085141
147	"He liked visitors, but he liked to know them before they arrived, and he preferred to ask them himself."	  Neutral	None	0	-0.39024	-0.060751
148	"He had a horrible thought that the cakes might run short, and then he-as the host: he knew his duty and stuck to it however painful-he might have to go without."	  Very negative	None	-2	-0.36585	-0.036361
149	"Come along in, and have some tea!"	  Neutral	None	0	-0.34146	-0.011971
150	 he managed to say after taking a deep breath.	  Negative	None	-1	-0.34146	-0.011971
151	"A little beer would suit me better, if it is all the same to you, my good sir, said Balin with the white beard."	  Negative	Balin	-1	-0.34146	-0.011971
152	"But I don't mind some cake-seed-cake, if you have any."	  Neutral	None	0	-0.36585	-0.036361
153	 Lots!	  Positive	None	1	-0.36585	-0.036361
154	" Bilbo found himself answering, to his own surprise; and he found himself scuttling off, too, to the cellar to fill a pint beer-mug, and to the pantry to fetch two beautiful round seed-cakes which he had baked that afternoon for his after-supper morsel."	  Negative	Bilbo Baggins	-1	-0.39024	-0.060751
155	When he got back Balin and Dwalin were talking at the table like old friends (as a matter of fact they were brothers).	  Neutral	Balin	0	-0.36585	-0.036361
156	"Bilbo plumped down the beer and the cake in front of them, when loud came a ring at the bell again, and then another ring."	  Negative	Bilbo Baggins	-1	-0.36585	-0.036361
157	"Gandalf for certain this time, he thought as he puffed along the passage."	  Negative	Gandalf	-1	-0.36585	-0.036361
158	But it was not.	  Neutral	None	0	-0.31707	0.012419
159	"It was two more dwarves, both with blue hoods, silver belts, and yellow beards; and each of them carried a bag of tools and a spade."	  Negative	None	-1	-0.31707	0.012419
160	"In they hopped, as soon as the door began to open-Bilbo was hardly surprised at all."	  Negative	None	-1	-0.34146	-0.011971
161	"What can I do for you, my dwarves?"	  Neutral	None	0	-0.29268	0.036809
162	 he said.	  Neutral	None	0	-0.29268	0.036809
163	Kili at your service!	  Neutral	Kili	0	-0.26829	0.061199
164	 said the one.	  Neutral	None	0	-0.26829	0.061199
165	And Fili!	  Neutral	Fili	0	-0.26829	0.061199
166	 added the other; and they both swept off their blue hoods and bowed.	  Negative	None	-1	-0.26829	0.061199
167	At yours and your family's!	  Neutral	None	0	-0.26829	0.061199
168	" replied Bilbo, remembering his manners this time."	  Neutral	Bilbo Baggins	0	-0.29268	0.036809
169	"Dwalin and Balin here already, I see, said Kili."	  Positive	Balin	1	-0.2439	0.085589
170	Let us join the throng!	  Neutral	None	0	-0.2439	0.085589
171	 Throng!	  Neutral	None	0	-0.26829	0.061199
172	 thought Mr. Baggins.	  Neutral	None	0	-0.29268	0.036809
173	I don't like the sound of that.	  Neutral	None	0	-0.29268	0.036809
174	"I really must sit down for a minute and collect my wits, and have a drink."	  Negative	None	-1	-0.31707	0.012419
175	" He had only just had a sip-in the corner, while the four dwarves sat around the table, and talked about mines and gold and troubles with the goblins, and the depredations of dragons, and lots of other things which he did not understand, and did not want to, for they sounded much too adventurous-when, ding-dong-a-ling-' dang, his bell rang again, as if some naughty little hobbit-boy was trying to pull the handle off."	  Neutral	None	0	-0.34146	-0.011971
176	Someone at the door!	  Neutral	None	0	-0.34146	-0.011971
177	" he said, blinking."	  Neutral	None	0	-0.31707	0.012419
178	"Some four, I should say by the sound, said Fili."	  Positive	Fili	1	-0.29268	0.036809
179	"Be-sides, we saw them coming along behind us in the distance."	  Neutral	None	0	-0.29268	0.036809
180	" The poor little hobbit sat down in the hall and put his head in his hands, and wondered what had happened, and what was going to happen, and whether they would all stay to supper."	  Negative	None	-1	-0.26829	0.061199
181	"Then the bell rang again louder than ever, and he had to run to the door."	  Neutral	None	0	-0.2439	0.085589
182	"It was not four after all, t was FIVE."	  Neutral	None	0	-0.2439	0.085589
183	Another dwarf had come along while he was wondering in the hall.	  Neutral	None	0	-0.2439	0.085589
184	"He had hardly turned the knob, be-x)re they were all inside, bowing and saying ""at your service"" one after another."	  Neutral	None	0	-0.26829	0.061199
185	"Dori, Nori, Ori, Oin, and Gloin were their names; and very soon two purple hoods, a grey hood, a brown hood, and a white hood were hanging on the pegs, and off they marched with their broad hands stuck in their gold and silver belts to join the others."	  Negative	Gloin	-1	-0.29268	0.036809
186	Already it had almost become a throng.	  Neutral	None	0	-0.31707	0.012419
187	"Some called for ale, and some for porter, and one for coffee, and all of them for cakes; so the hobbit was kept very busy for a while."	  Negative	None	-1	-0.29268	0.036809
188	"A big jug of coffee bad just been set in the hearth, the seed-cakes were gone, and the dwarves were starting on a round of buttered scones, when there came-a loud knock."	  Negative	None	-1	-0.31707	0.012419
189	"Not a ring, but a hard rat-tat on the hobbit's beautiful green door."	  Neutral	None	0	-0.31707	0.012419
190	Somebody was banging with a stick!	  Neutral	None	0	-0.34146	-0.011971
191	"Bilbo rushed along the passage, very angry, and altogether bewildered and bewuthered-this was the most awkward Wednesday he ever remembered."	  Very negative	Bilbo Baggins	-2	-0.34146	-0.011971
192	"He pulled open the door with a jerk, and they all fell in, one on top of the other."	  Very negative	None	-2	-0.34146	-0.011971
193	"More dwarves, four more!"	  Neutral	None	0	-0.31707	0.012419
194	"And there was Gandalf behind, leaning on his staff and laughing."	  Neutral	Gandalf	0	-0.34146	-0.011971
195	"He had made quite a dent on the beautiful door; he had also, by the way, knocked out the secret mark that he had put there the morning before."	  Very negative	None	-2	-0.31707	0.012419
196	Carefully!	  Neutral	None	0	-0.31707	0.012419
