index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
93	None	"So all you can do is give in to it, step right inside the storm, closing your eyes and plugging up your ears so the sand doesn't get in, and walk through it, step by step."	  Very negative	-2	-0.45455	-0.19048	0.064542659
94	None	"There's no sun there, no moon, no direction, no sense of time."	  Negative	-1	-0.45455	-0.19048	0.064542659
95	None	Just fine white sand swirling up into the sky like pulverized bones.	  Positive	1	-0.36364	-0.19048	0.064542659
96	None	That's the kind of sandstorm you need to imagine.	  Neutral	0	-0.27273	-0.14286	0.112162659
97	None	And that's exactly what I do.	  Neutral	0	-0.27273	-0.19048	0.064542659
98	None	I imagine a white funnel stretching up vertically like a thick rope.	  Negative	-1	-0.27273	-0.19048	0.064542659
99	None	"My eyes are closed tight, hands cupped over my ears, so those fine grains of sand can't blow inside me."	  Negative	-1	-0.090909	-0.19048	0.064542659
100	None	The sandstorm draws steadily closer.	  Positive	1	0	-0.19048	0.064542659
101	None	I can feel the air pressing on my skin.	  Neutral	0	0	-0.14286	0.112162659
102	None	It really is going to swallow me up.	  Neutral	0	0	-0.14286	0.112162659
103	None	"The boy called Crow softly rests a hand on my shoulder, and with that the storm vanishes."	  Neutral	0	0	-0.19048	0.064542659
104	None	From now on--no matter what--you've got to be the world's toughest fifteenyear- old.	  Neutral	0	0	-0.14286	0.112162659
105	None	That's the only way you're going to survive.	  Neutral	0	0.090909	-0.14286	0.112162659
106	None	"And in order to do that, you've got to figure out what it means to be tough."	  Positive	1	0	-0.19048	0.064542659
107	None	You following me?	  Neutral	0	0	-0.19048	0.064542659
108	None	 I keep my eyes closed and don't reply.	  Neutral	0	-0.090909	-0.19048	0.064542659
109	None	"I just want to sink off into sleep like this, his hand on my shoulder."	  Negative	-1	-0.18182	-0.14286	0.112162659
110	None	I hear the faint flutter of wings.	  Neutral	0	-0.27273	-0.047619	0.207403659
111	None	"You're going to be the world's toughest fifteen-year-old, Crow whispers as I try to fall asleep."	  Neutral	0	-0.27273	-0.14286	0.112162659
112	None	Like he was carving the words in a deep blue tattoo on my heart.	  Neutral	0	-0.36364	-0.14286	0.112162659
113	None	"And you really will have to make it through that violent, metaphysical, symbolic storm."	  Negative	-1	-0.36364	-0.19048	0.064542659
114	None	"No matter how metaphysical or symbolic it might be, make no mistake about it: it will cut through flesh like a thousand razor blades."	  Negative	-1	-0.36364	-0.19048	0.064542659
115	None	"People will bleed there, and you will bleed too."	  Negative	-1	-0.18182	-0.14286	0.112162659
116	None	"Hot, red blood."	  Neutral	0	-0.27273	-0.14286	0.112162659
117	None	"You'll catch that blood in your hands, your own blood and the blood of others."	  Neutral	0	-0.27273	-0.19048	0.064542659
118	None	"And once the storm is over you won't remember how you made it through, how you managed to survive."	  Neutral	0	-0.36364	-0.19048	0.064542659
119	None	"You won't even be sure, in fact, whether the storm is really over."	  Neutral	0	-0.27273	-0.14286	0.112162659
120	None	But one thing is certain.	  Positive	1	-0.090909	-0.14286	0.112162659
121	None	When you come out of the storm you won't be the same person who walked in.	  Negative	-1	0	-0.19048	0.064542659
122	None	That's what this storm's all about.	  Neutral	0	0	-0.14286	0.112162659
123	None	"On my fifteenth birthday I'll run away from home, journey to a far-off town, and live in a corner of a small library."	  Negative	-1	0	-0.095238	0.159784659
124	None	"It'd take a week to go into the whole thing, all the details."	  Neutral	0	0.090909	-0.047619	0.207403659
125	None	So I'll just give the main point.	  Positive	1	0	-0.047619	0.207403659
126	None	"On my fifteenth birthday I'll run away from home, journey to a far-off town, and live in a corner of a small library."	  Neutral	0	-0.18182	-0.047619	0.207403659
127	None	It sounds a little like a fairy tale.	  Neutral	0	0	-0.095238	0.159784659
128	None	"But it's no fairy tale, believe me."	  Neutral	0	0.090909	-0.047619	0.207403659
129	None	No matter what sort of spin you put on it.	  Positive	1	0.18182	-0.047619	0.207403659
130	None	 1 Cash isn't the only thing I take from my father's study when I leave home.	  Negative	-1	0.090909	-0.095238	0.159784659
131	None	"I take a small, old gold lighter--I like the design and feel of it--and a folding knife with a really sharp blade."	  Negative	-1	-0.090909	-0.14286	0.112162659
132	None	"Made to skin deer, it has a five-inch blade and a nice heft."	  Positive	1	-0.18182	-0.095238	0.159784659
133	None	Probably something he bought on one of his trips abroad.	  Positive	1	-0.090909	-0.095238	0.159784659
134	None	"I also take a sturdy, bright pocket flashlight out of a drawer."	  Neutral	0	-0.090909	-0.047619	0.207403659
135	None	Plus sky blue Revo sunglasses to disguise my age.	  Negative	-1	-0.27273	-0.047619	0.207403659
136	None	I think about taking my father's favorite Sea-Dweller Oyster Rolex.	  Negative	-1	-0.18182	-0.14286	0.112162659
137	None	"It's a beautiful watch, but something flashy will only attract attention."	  Negative	-1	-0.090909	-0.14286	0.112162659
138	None	"My cheap plastic Casio watch with an alarm and stopwatch will do just fine, and might actually be more useful."	  Positive	1	-0.18182	-0.14286	0.112162659
139	None	"Reluctantly, I return the Rolex to its drawer."	  Neutral	0	-0.27273	-0.095238	0.159784659
140	None	"From the back of another drawer I take out a photo of me and my older sister when we were little, the two of us on a beach somewhere with grins plastered across our faces."	  Negative	-1	-0.27273	-0.14286	0.112162659
141	None	My sister's looking off to the side so half her face is in shadow and her smile is neatly cut in half.	  Neutral	0	-0.27273	-0.095238	0.159784659
142	None	It's like one of those Greek tragedy masks in a textbook that's half one idea and half the opposite.	  Neutral	0	-0.18182	-0.095238	0.159784659
143	None	Light and dark.	  Neutral	0	-0.090909	-0.14286	0.112162659
144	None	Hope and despair.	  Neutral	0	-0.090909	-0.19048	0.064542659
145	None	Laughter and sadness.	  Neutral	0	-0.090909	-0.19048	0.064542659
146	None	Trust and loneliness.	  Negative	-1	0	-0.14286	0.112162659
147	None	"For my part I'm staring straight ahead, undaunted, at the camera."	  Neutral	0	-0.090909	-0.095238	0.159784659
148	None	Nobody else is there at the beach.	  Neutral	0	-0.090909	-0.047619	0.207403659
